0x0000|Bourg-en-Vol
0x0084|Route Victoire (RFVF)
0x0085|Repaire Rocket
0x0086|Sylphe SARL
0x0087|Manoir Pokémon
0x0088|Parc Safari (RFVF)
0x0089|Ligue Pokémon
0x008a|Grotte
0x008b|Iles Ecume
0x008c|Tour Pokémon
0x008d|Caverne Azurée
0x008e|Centrale
0x008f|Ile 1
0x0090|Ile 2
0x0091|Ile 3
0x0092|Ile 4
0x0093|Ile 5
0x0094|Ile 7
0x0095|Ile 6
0x0096|Route Tison
0x0097|Plage Trésor
0x0098|Cap Falaise
0x0099|Pont du Lien
0x009a|Port Ile 3
0x009b|Ile Sevii 6
0x009c|Ile Sevii 7
0x009d|Ile Sevii 8
0x009e|Ile Sevii 9
0x009f|Camp de Vacances
0x00a0|Labyrinthe d'O
0x00a1|Pré Île 5
0x00a2|Mémorial
0x00a3|Ile du Lointain
0x00a4|Chemin Vert
0x00a5|Agualcanal
0x00a6|Vallée Ruine
0x00a7|Tour Dresseurs (extérieur)
0x00a8|Entrée du Canyon
0x00a9|Canyon Sesor
0x00aa|Ruines Tanoby
0x00ab|Ile Sevii 22
0x00ac|Ile Sevii 23
0x00ad|Ile Sevii 24
0x00ae|Roc Nombri (RFVF)
0x00af|Mont Braise
0x00b0|Bois Baies
0x00b1|Grotte de Glace
0x00b2|Entrepôt Rocket
0x00b3|Tour Dresseurs
0x00b4|Trou Percé
0x00b5|Grotte Perdue
0x00b6|Forbuissons
0x00b7|Grotte Métamo (RFVF)
0x00b8|Chambres Tanoby
0x00b9|Route Île 3
0x00ba|Clé Tanoby
0x00bb|Ile Aurore (RFVF)
0x00bc|Chambre Anémune
0x00bd|Chambre Deulipe
0x00be|Chambre Prois
0x00bf|Chambre Jonquatr
0x00c0|Chambre Hibicinq
0x00c1|Chambre Irix
0x00c2|Chambre Poinsept
0x00c3|Source Braise
0x00c4|Cent. Commercial (RFVF) Endroit Spécial (É)
0x00c5|Planque Aqua
0x00c6|Planque Magma
0x00c7|Tour Mirage
0x00c8|Ile Aurore (É)
0x00c9|Ile Lointaine
0x00ca|Grotte Atelier
0x00cb|Grotte Marine
0x00cc|Fond Marin (Grotte Marine)
0x00cd|Grotte Terra
0x00ce|Fond Marin (Chenal 105)
0x00cf|Fond Marin (Chenal 125)
0x00d0|Fond Marin (Chenal 129)
0x00d1|Voie du Désert
0x00d2|Grotte Métamo (É)
0x00d3|Roc Nombri (É)
0x00d4|Mont Dresseurs
0x00fd|(œuf offert)
0x00fe|(échange interne)
0x00ff|(force du destin)
